admin;282c63bc483;Геращенко;Михаил;admin;999999;1
morozov;170842;Сергей;Морозов;manager;428571;1
sokolova;170842;Ольга;Соколова;manager;936204;1
volkov;170842;Михаил;Волков;manager;157893;1
orlova;170842;Анна;Орлова;manager;642809;1
lebedeva;170842;Мария;Лебедева;manager;375126;0
gusev;170842;Влад;Гусев;manager;508347;1
nonsans;170842;Олег;Борисович;manager;215975;1
qwerty;170842;Джон;Картер;manager;492932;1
glebuba;170842;Глеб;Орлов;manager;564753;1
pop;170842;Александр;Батюшка;manager;311905;1
